Title,Authors_Institutes,Submission Date
Adaptive Disentangled Transformer for Sequential Recommendation,"Yipeng Zhang (Tsinghua University, Tsinghua University), Xin Wang (Tsinghua University, Tsinghua University), Hong Chen (Tsinghua University, Tsinghua University), Wenwu Zhu (Tsinghua University, Tsinghua University)",Not Found
Learning Strong Graph Neural Networks with Weak Information,"Yixin Liu (Monash University), Kaize Ding (Arizona State University), Jianling Wang (Texas AM University), Vincent Lee (Monash University), Huan Liu (Arizona State University), Shirui Pan (Griffith University)",May 2023
Clenshaw Graph Neural Networks,"Yuhe Guo (Renmin University of China), Zhewei Wei (Renmin University of China)","29 October, 2022"
All in One: Multi-Task Prompting for Graph Neural Networks,"Xiangguo Sun (The Chinese University of Hong Kong), Hong Cheng (The Chinese University of Hong Kong), Jia Li (The Hong Kong University of Science and Technology (Guangzhou)), Bo Liu (Southeast University; Purple Mountain Laboratories), Jihong Guan (Tongji University)",March 2024
Certified Edge Unlearning for Graph Neural Networks,"Kun Wu (Stevens Institute of Technology), Jie Shen (Stevens Institute of Technology), Yue Ning (Stevens Institute of Technology), Ting Wang (Pennsylvania State University), Wendy Hui Wang (Stevens Institute of Technology)",Not Found
Augmenting Recurrent Graph Neural Networks with a Cache,"Guixiang Ma (Intel Labs), Vy A Vo (Intel Labs), Theodore L. Willke (Intel Labs), Nesreen K. Ahmed (Intel Labs)",Not Found
Narrow the Input Mismatch in Deep Graph Neural Network Distillation,"Qiqi Zhou (Hong Kong University of Science and Technology), Yanyan Shen (Shanghai Jiao Tong University), Lei Chen (Hong Kong University of Science and Technology; Hong Kong University of Science and Technology (Guangzhou))",Not Found
Finding Favourite Tuples on Data Streams with Provably Few Comparisons,"Guangyi Zhang (Shenzhen Institute of Computing Sciences), Nikolaj Tatti (HIIT, University of Helsinki), Aristides Gionis (KTH Royal Institute of Technology)",July 2023
SketchPolymer: Estimate Per-Item Tail Quantile Using One Sketch,"Jiarui Guo (Peking University), Yisen Hong (Peking University), Yuhan Wu (Peking University), Yunfei Liu (Peking University), Tong Yang (Peking University), Bin Cui (Peking University)",Not Found
Hyper-USS: Answering Subset Query Over Multi-Attribute Data Stream,"Ruijie Miao (Peking University; Peng Cheng Laboratory), Yiyao Zhang (Nanjing University), Guanyu Qu (Institute of Computing Technology, Chinese Academy of Sciences; University of Chinese Academy of Sciences), Kaicheng Yang (Peking University; Peng Cheng Laboratory), Tong Yang (Peking University; Peng Cheng Laboratory), Bin Cui (Peking University)",Not Found
Fast and Accurate Dual-Way Streaming PARAFAC2 for Irregular Tensors – Algorithm and Application,"Jun-Gi Jang (Seoul National University), Jeongyoung Lee (Seoul National University), Yong-chan Park (Seoul National University), U Kang (Seoul National University)",May 2023
MicroscopeSketch: Accurate Sliding Estimation Using Adaptive Zooming,"Yuhan Wu (Peking University), Shiqi Jiang (Peking University), Siyuan Dong (Peking University), Zheng Zhong (Peking University), Jiale Chen (Peking University), Yutong Hu (Peking University), Tong Yang (Peking University), Steve Uhlig (Queen Mary University of London), Bin Cui (Peking University)",Not Found
Sketch-Based Anomaly Detection in Streaming Graphs,"Siddharth Bhatia (TurboML), Mohit Wadhwa (Google), Kenji Kawaguchi (National University of Singapore), Neil Shah (Snap Inc.), Philip Yu (University of Illinois at Chicago), Bryan Hooi (National University of Singapore)","8 June, 2021"
Guiding Mathematical Reasoning via Mastering Commonsense Formula Knowledge,"Jiayu Liu (University of Science and Technology of China; State Key Laboratory of Cognitive Intelligence), Zhenya Huang (University of Science and Technology of China; State Key Laboratory of Cognitive Intelligence), Zhiyuan Ma (University of Science and Technology of China; State Key Laboratory of Cognitive Intelligence), Qi Liu (University of Science and Technology of China; State Key Laboratory of Cognitive Intelligence), Enhong Chen (University of Science and Technology of China; State Key Laboratory of Cognitive Intelligence), Tianhuang Su (OPPO Mobile Telecommunications), Haifeng Liu (University of Science and Technology of China)",Not Found
Knowledge Graph Reasoning over Entities and Numerical Values,"Jiaxin Bai (HKUST), Chen Luo (Amazon.com Inc), zheng li (Amazon.com Inc), Qingyu Yin (Amazon.com Inc), Bing Yin (Amazon.com Inc), Yangqiu Song (HKUST)",June 2023
Exploiting Relation-Aware Attribute Representation Learning in Knowledge Graph Embedding for Numerical Reasoning,"Gayeong Kim (Sungkyunkwan University), Sookyung Kim (Sungkyunkwan University), Ko Keun Kim (LG Electronics), Suchan Park (LG Electronics), Heesoo Jung (Sungkyunkwan University), Hogun Park (Sungkyunkwan University)",Not Found
AdaProp: Learning Adaptive Propagation for Graph Neural Network based Knowledge Graph Reasoning,"Yongqi Zhang (4Paradigm Inc.), Zhanke Zhou (Hong Kong Baptist University), Quanming Yao (Tsinghua University), Xiaowen Chu (HKUST (Guangzhou)), Bo Han (Hong Kong Baptist University)","30 May, 2022"
Context-Aware Event Forecasting via Graph Disentanglement,"Yunshan Ma (National University of Singapore), Chenchen Ye (National University of Singapore), Zijian Wu (National University of Singapore), Xiang Wang (University of Science and Technology of China), Yixin Cao (Singapore Management University), Tat-seng Chua (National University of Singapore)",August 2023
Representation Learning on Hyper-Relational and Numeric Knowledge Graphs with Transformers,"Chanyoung Chung (KAIST), Jaejun Lee (KAIST), Joyce Jiyoung Whang (KAIST)","29 May, 2023"
GraphGLOW: Universal and Generalizable Structure Learning for Graph Neural Networks,"Wentao Zhao (Shanghai Jiao Tong University), Qitian Wu (Shanghai Jiao Tong University), Chenxiao Yang (Shanghai Jiao Tong University), Junchi Yan (Shanghai Jiao Tong University)",June 2023
Generative Causal Interpretation Model for Spatio-Temporal Representation Learning,"Yu Zhao (Beihang University), Pan Deng (Beihang University), Junting Liu (Beihang University), Xiaofeng Jia (Beijing Big Data Centre), Jianwei Zhang (Capinfo Company Limited)",Not Found
MM-DAG: Multi-task DAG Learning for Multi-Modal Data with Application for Traffic Congestion Analysis,"Tian Lan (Tsinghua University), Ziyue Li (University of Cologne), zhishuai Li (SenseTime Research), Lei Bai (Shanghai AI Laboratory), Man Li (The Hong Kong University of Science and Technology), Fugee Tsung (The Hong Kong University of Science and Technology (Guangzhou)), Wolfgang Ketter (University of Cologne), Rui Zhao (SenseTime Research), Chen Zhang (Tsinghua University)",June 2023
Deception by Omission: Using Adversarial Missingness to Poison Causal Structure Learning,"Deniz Koyuncu (Rensselaer Polytechnic Institute), Alex Gittens (Rensselaer Polytechnic Institute), Bluent Yener (Rensselaer Polytechnic Institute), Moti Yung (Google LLC; Columbia University)",May 2023
Discovering Dynamic Causal Space for DAG Structure Learning,"Fangfu Liu (Tsinghua University), Wenchang Ma (National University of Singapore), AN ZHANG (National University of Singapore), Xiang Wang (University of Science and Technology of China), Yueqi Duan (Tsinghua University), Tat-seng Chua (National University of Singapore)","5 June, 2023"
Node Classification Beyond Homophily: Towards a General Solution,"Zhe Xu (University of Illinois Urbana-Champaign), Yuzhong Chen (Visa Research), Qinghai Zhou (University of Illinois Urbana-Champaign), Yuhang Wu (Visa Research), Menghai Pan (Visa Research), Hao Yang (Visa Research), Hanghang Tong (University of Illinois Urbana-Champaign)",Not Found
Grace: Graph Self-Distillation and Completion to Mitigate Degree-Relatednesses,"Hui Xu (Shanghai Jiao Tong University), Liyao Xiang (Shanghai Jiao Tong University), Femke Huang (Shanghai Jiao Tong University), Yuting Weng (Shanghai Jiao Tong University), Ruijie Xu (Shanghai Jiao Tong University), Xinbing Wang (Shanghai Jiao Tong University), Chenghu Zhou (Chinese Academy of Sciences)",Not Found
GraphSHA: Synthesizing Harder Samples for Class-Imbalanced Node Classification,"Wen-Zhi Li (Sun Yat-sen University; The Hong Kong University of Science and Technology (Guangzhou)), Chang-Dong Wang (Sun Yat-sen University), Hui Xiong (The Hong Kong University of Science and Technology (Guangzhou); The Hong Kong University of Science and Technology), Jian-Huang Lai (Sun Yat-sen University)",June 2023
Classification of Edge-Dependent Labels of Nodes in Hypergraphs,"Minyoung Choe (Korea Advanced Institute of Science and Technology), Sunwoo Kim (Korea Advanced Institute of Science and Technology), Jaemin Yoo (Carnegie Mellon University), Kijung Shin (Korea Advanced Institute of Science and Technology)",June 2023
Enhancing Graph Representations Learning with Decorrelated Propagation,"Hua Liu (Shandong University), Wei Jin (Michigan State University), Xiaorui Liu (North Carolina State University), Hui Liu (Michigan State University)",Not Found
HGCN: Tree-Likeness Modeling via Continuous and Discrete Curvature Learning,"Menglin Yang (The Chinese University of Hong Kong), Min Zhou (Huawei Technologies Co., Ltd.), Lujia Pan (Huawei Technologies Co., Ltd.), Irwin King (The Chinese University of Hong Kong)",Not Found
Path-Specific Counterfactual Fairness for Recommender Systems,"Yaochen Zhu (University of Virginia), Jing Ma (University of Virginia), Liang Wu (LinkedIn Inc.), Qi Guo (LinkedIn Inc.), Liangjie Hong (LinkedIn Inc.), Jundong Li (University of Virginia)",June 2023
"SURE: Robust, Explainable, and Fair Classification without Sensitive Attributes",Deepayan Chakrabarti (University of Texas at Austin),Not Found
Learning for Counterfactual Fairness from Observational Data,"Jing Ma (University of Virginia), Ruocheng Guo (Bytedance Research), Aidong Zhang (University of Virginia), Jundong Li (University of Virginia)",July 2023
Online Fairness Auditing through Iterative Refinement,"Pranav Maneriker (The Ohio State University), Codi Burley (The Ohio State University), Srinivasan Parthasarathy (Ohio State University)",Not Found
Towards Fair Disentangled Online Learning for Changing Environments,"Chen Zhao (Baylor University), Feng Mi (University of Texas at Dallas), Xintao Wu (University of Arkansas), Kai Jiang (The University of Texas at Dallas), Latifur Khan (The University of Texas at Dallas), Christan Grant (University of Florida), Feng Chen (The University of Texas at Dallas)","31 May, 2023"
Meta Graph Learning for Long-Tail Recommendation,"Chunyu Wei (Tsinghua University), Jian Liang (Independent Researcher), Di Liu (Alibaba Group), Zehui Dai (Alibaba Group), Mang Li (Alibaba Group), Fei Wang (Cornell University)",Not Found
Graph Neural Bandits,"Yunzhe Qi (University of Illinois at Urbana-Champaign), Yikun Ban (University of Illinois at Urbana-Champaign), Jingrui He (University of Illinois at Urbana-Champaign)","20 September, 2024"
E-commerce Search via Content Collaborative Graph Neural Network,"Guipeng Xv (School of Informatics, Xiamen University), Chen Lin (School of Informatics, Xiamen University), Wanxian Guan (Alibaba Group), Jinping Gou (Alibaba Group), Xubin Li (Alibaba Group), Hongbo Deng (Alibaba Group), Jian Xu (Alibaba Group), Bo Zheng (Alibaba Group)",Not Found
Criteria Tell You More than Ratings: Criteria Preference-Aware Light Graph Convolution for Effective Multi-Criteria Recommendation,"Jin-Duk Park (Yonsei University), Siqing Li (The University of New South Wales), Xin Cao (The University of New South Wales), Won-Yong Shin (Yonsei University)","30 May, 2023"
Knowledge Graph Self-Supervised Rationalization for Recommendation,"Yuhao Yang (The University of Hong Kong), Chao Huang (The University of Hong Kong), Lianghao Xia (The University of Hong Kong), Chunzhen Huang (Tencent)",July 2023
On Manipulating Signals of User-Item Graph: A Jacobi Polynomial-based Graph Collaborative Filtering,"Jiayan Guo (Peking University), Lun Du (Microsoft), Xu Chen (Microsoft), Xiaojun Ma (Microsoft), Qiang Fu (Microsoft), Shi Han (Microsoft), Dongmei Zhang (Microsoft), Yan Zhang (Peking University)",June 2023
Towards Understanding and Enhancing Robustness of Deep Learning Models against Malicious Unlearning Attacks,"Wei Qian (Iowa State University), Chenxu Zhao (Iowa State University), Wei Le (Iowa State University), Meiyi Ma (Vanderbilt University), Mengdi Huai (Iowa State University)",Not Found
Incremental Causal Graph Learning for Online Root Cause Analysis,"Dongjie Wang (University of Central Florida), Zhengzhang Chen (NEC Laboratories America Inc), Yanjie Fu (University of Central Florida), Yanchi Liu (NEC Laboratories America Inc), Haifeng Chen (NEC Laboratories America Inc)",Not Found
Cracking White-Box DNN Watermarks via Invariant Neuron Transforms,"Xudong Pan (Fudan University), Mi Zhang (Fudan University), Yifan Yan (Fudan University), Yining Wang (Fudan University), Min Yang (Fudan University)","30 April, 2022"
Machine Unlearning in Gradient Boosting Decision Trees,"Huawei Lin (Rochester Institute of Technology), Jun Woo Chung (Rochester Institute of Technology), Yingjie Lao (Clemson University), Weijie Zhao (Rochester Institute of Technology)",November 2023
3D-IDS: Doubly Disentangled Dynamic Intrusion Detection,"Chenyang Qiu (Beijing University of Posts and Telecommunications), Yingsheng Geng (Beijing University of Posts and Telecommunications), Junrui Lu (Beijing University of Posts and Telecommunications), Kaida Chen (Beijing University of Posts and Telecommunications), Shitong Zhu (Beijing University of Posts and Telecommunications), Ya Su (HUAWEI Technologies Co., Ltd.), Guoshun Nan (Beijing University of Posts and Telecommunications), Can Zhang (Beijing University of Posts and Telecommunications), Junsong Fu (Beijing University of Posts and Telecommunications), Qimei Cui (Beijing University of Posts and Telecommunications), Xiaofeng Tao (Beijing University of Posts and Telecommunications)","1 July, 2023"
Transferable Graph Structure Learning for Graph-Based Traffic Forecasting Across Cities,"Yilun Jin (Hong Kong University of Science and Technology), Kai Chen (Hong Kong University of Science and Technology), Qiang Yang (Hong Kong University of Science and Technology; WeBank)",Not Found
TSMixer: Lightweight MLP-Mixer Model for Multivariate Time Series Forecasting,"Vijay Ekambaram (IBM Research), Arindam Jati (IBM Research), Nam Nguyen (IBM Research), Phanwadee Sinthong (IBM Research), Jayant Kalagnanam (IBM Research)","14 June, 2023"
Hierarchical Proxy Modeling for Improved HPO in Time Series Forecasting,"Arindam Jati (IBM Research), Vijay Ekambaram (IBM Research), Shaonli Pal (Indian Institute of Technology), Brian Quanz (IBM Research), Wesley M. Gifford (IBM Research), Pavithra Harsha (IBM Research), Stuart Siegel (IBM Research), Sumanta Mukherjee (IBM Research), Chandra Narayanaswami (IBM Research)","28 November, 2022"
FLAMES2Graph: An Interpretable Federated Multivariate Time Series Classification Framework,"Raneen Younis (L3S Research Center), Zahra Ahmadi (L3S Research Center), Abdul Hakmeh (University of Hildesheim), Marco Fisichella (L3S Research Center)",Not Found
When Rigidity Hurts: Soft Consistency Regularization for Probabilistic Hierarchical Time Series Forecasting,"Harshavardhan Kamarthi (Georgia Institute of Technology), Lingkai Kong (Georgia Institute of Technology), Alexander Rodriguez (Georgia Institute of Technology), Chao Zhang (Georgia Institute of Technology), B. Aditya Prakash (Georgia Institute of Technology)","17 October, 2023"
Warpformer: A Multi-Scale Modeling Approach for Irregular Clinical Time Series,"Jiawen Zhang (The Hong Kong University of Science and Technology (Guangzhou)), Shun Zheng (Microsoft Research Asia), Wei Cao (Microsoft Research Asia), Jiang Bian (Microsoft Research Asia), Jia Li (The Hong Kong University of Science and Technology (Guangzhou))",June 2023
CampER: An Effective Framework for Privacy-Aware Deep Entity Resolution,"Yuxiang Guo (Zhejiang University), Lu Chen (Zhejiang University), Zhengjie Zhou (Zhejiang University), Baihua Zheng (Singapore Management University), Ziquan Fang (Zhejiang University), Zhikun Zhang (Stanford University), Yuren Mao (Zhejiang University), Yunjun Gao (Zhejiang University)",Not Found
Joint Pre-training and Local Re-training: Transferable Representation Learning on Multi-Source Knowledge Graphs,"Zequn Sun (Nanjing University), Jiacheng Huang (Nanjing University), Jinghao Lin (Alibaba Group), Xiaozhou Xu (Alibaba Group), Qijin Chen (Alibaba Group), Wei Hu (Nanjing University)",June 2023
Recognizing Unseen Objects via Multimodal Intensive Knowledge Graph Propagation,"Likang Wu (University of Science and Technology of China, State Key Laboratory of Cognitive Intelligence), Zhi Li (Shenzhen International Graduate School, Tsinghua University), Hongke Zhao (Tianjin University), Zhefeng Wang (Huawei Cloud), Qi Liu (University of Science and Technology of China, State Key Laboratory of Cognitive Intelligence), Baoxing Huai (Huawei Cloud), Nicholas Jing Yuan (Huawei Cloud), Enhong Chen (University of Science and Technology of China, State Key Laboratory of Cognitive Intelligence)","14 June, 2023"
Few-Shot Low-Resource Knowledge Graph Completion with Multi-view Task Representation Generation,"Shichao Pei (The University of Notre Dame), Ziyi Kou (The University of Notre Dame), Qiannan Zhang (King Abdullah University of Science and Technology), Xiangliang Zhang (The University of Notre Dame)",Not Found
Multi-Grained Multimodal Interaction Network for Entity Linking,"Pengfei Luo (University of Science and Technology of China), Tong Xu (University of Science and Technology of China), Shiwei Wu (University of Science and Technology of China), Chen Zhu (BOSS Zhipin), Linli Xu (University of Science and Technology of China), Enhong Chen (University of Science and Technology of China)",July 2023
Prescriptive PCA: Dimensionality Reduction for Two-Stage Stochastic Optimization,"Long He (George Washington University), Ho-Yin Mak (Georgetown University)",June 2023
Online Level-Wise Hierarchical Clustering,"Nicholas Monath (Google DeepMind), Manzil Zaheer (Google DeepMind), Andrew McCallum (Google DeepMind)",Not Found
"Connecting the Dots: Density-Connectivity Distance unifies DBSCAN, k-Center and Spectral Clustering","Anna Beer (Aarhus University), Andrew Draganov (Aarhus University), Ellen Hohma (Technical University of Munich), Philipp Jahn (LMU Munich, DBS, MCML), Christian M.M. Frey (Fraunhofer IIS), Ira Assent (Aarhus University)",Not Found
Spatial Clustering Regression of Count Value Data via Bayesian Mixture of Finite Mixtures,"Peng Zhao (Texas AM University), Hou-Cheng Yang (Florida State University), Dipak Dey (University of Connecticut), Guanyu Hu (The University of Texas Health Science Center at Houston)","16 February, 2020"
Hyperbolic Graph Topic Modeling Network with Continuously Updated Topic Tree,"Delvin Ce Zhang (Singapore Management University), Rex Ying (Yale University), Hady W. Lauw (Singapore Management University)",Not Found
PROSE: Graph Structure Learning via Progressive Strategy,"Huizhao Wang (Hikvision Research Institute), Yao Fu (Hikvision Research Institute), Tao Yu (Hikvision Research Institute), Linghui Hu (Hikvision Research Institute), Weihao Jiang (Hikvision Research Institute), Shiliang Pu (Hikvision Research Institute)",Not Found
Contrastive Meta-Learning for Few-Shot Node Classification,"Song Wang (University of Virginia), Zhen Tan (Arizona State University), Huan Liu (University of Virginia), Jundong Li (University of Virginia)",June 2023
"Less is More: SlimG for Accurate, Robust, and Interpretable Graph Mining","Jaemin Yoo (Carnegie Mellon University), Meng-Chieh Lee (Carnegie Mellon University), Shubhranshu Shekhar (Carnegie Mellon University), Christos Faloutsos (Carnegie Mellon University)","8 October, 2022"
Virtual Node Tuning for Few-Shot Node Classification,"Zhen Tan (Arizona State University), Ruocheng Guo (Arizona State University), Kaize Ding (Arizona State University), Huan Liu (Arizona State University)",June 2023
Task-Equivariant Graph Few-Shot Learning,"Sungwon Kim (KAIST), Junseok Lee (KAIST), Namkyeong Lee (KAIST), Wonjoong Kim (KAIST), Seungyoon Choi (KAIST), Chanyoung Park (KAIST)","30 May, 2023"
FedAPEN: Personalized Cross-silo Federated Learning with Adaptability to Statistical Heterogeneity,"Zhen Qin (Zhejiang University), Shuiguang Deng (Zhejiang University), Mingyu Zhao (Huawei Technologies Co. Ltd.), Xueqiang Yan (Huawei Technologies Co. Ltd.)",Not Found
DM-PFL: Hitchhiking Generic Federated Learning for Efficient Shift-Robust Personalization,"Wenhao Zhang (Beihang University), Zimu Zhou (City University of Hong Kong), Yansheng Wang (Beihang University), Yongxin Tong (Beihang University)",Not Found
FedCP: Separating Feature Information for Personalized Federated Learning via Conditional Policy,"Jianqing Zhang (Shanghai Jiao Tong University), Yang Hua (Queen’s University Belfast), Hao Wang (Louisiana State University), Tao Song (Shanghai Jiao Tong University), Zhengui Xue (Shanghai Jiao Tong University), Ruhui Ma (Shanghai Jiao Tong University), Haibing Guan (Shanghai Jiao Tong University)","1 July, 2023"
Personalized Federated Learning with Parameter Propagation,"Jun Wu (University of Illinois at Urbana-Champaign), Wenxuan Bao (University of Illinois at Urbana-Champaign), Elizabeth Ainsworth (USDA-ARS Global Change and Photosynthesis Research Unit; University of Illinois at Urbana-Champaign), Jingrui He (University of Illinois at Urbana-Champaign)",Not Found
Navigating Alignment for Non-identical Client Class Sets: A Label Name-Anchored Federated Learning Framework,"Jiayun Zhang (University of California, San Diego), Xiyuan Zhang (University of California, San Diego), Xinyang Zhang (University of Illinois at Urbana-Champaign), Dezhi Hong (Amazon), Rajesh K. Gupta (University of California, San Diego), Jingbo Shang (University of California, San Diego)","1 January, 2023"
HiMacMic: Hierarchical Multi-Agent Deep Reinforcement Learning with Dynamic Asynchronous Macro Strategy,"Hancheng Zhang (Beijing Inst. of Tech.), Guozheng Li (Beijing Inst. of Tech.), Chi Harold Liu (Beijing Inst. of Tech.), Guoren Wang (Beijing Inst. of Tech.), Jian Tang (Midea Group)",Not Found
GAT-MF: Graph Attention Mean Field for Very Large Scale Multi-Agent Reinforcement Learning,"Qianyue Hao (Tsinghua University), Wenzhen Huang (Tsinghua University), Tao Feng (Tsinghua University), Jian Yuan (Tsinghua University, Tsinghua University), Yong Li (Tsinghua University)",Not Found
Skill Disentanglement for Imitation Learning from Suboptimal Demonstrations,"Tianxiang Zhao (the Pennsylvania State University), Wenchao Yu (NEC-Labs America), Suhang Wang (the Pennsylvania State University), Lu Wang (East China Normal University), Xiang Zhang (the Pennsylvania State University), Yuncong Chen (NEC-Labs America), Yanchi Liu (NEC-Labs America), Wei Cheng (NEC-Labs America), Haifeng Chen (NEC-Labs America)",June 2023
Internal Logical Induction for Pixel-Symbolic Reinforcement Learning,"Jiacheng Xu (Nanjing University), Chao Chen (Nanjing University), Fuxiang Zhang (Nanjing University), Lei Yuan (Nanjing University; Polixir Technologies), Zongzhang Zhang (Nanjing University), Yang Yu (Nanjing University; Polixir Technologies)",Not Found
Impatient Bandits: Optimizing Recommendations for the Long-Term Without Delay,"Thomas M. McDonald (University of Manchester), Lucas Maystre (Spotify), Mounia Lalmas (Spotify), Daniel Russo (University of Columbia; Spotify), Kamil Ciosek (Spotify)","19 July, 2023"
Towards Variance Reduction for Reinforcement Learning of Industrial Decision-Making Tasks: A Bi-Critic based Demand-Constraint Decoupling Approach,"Jianyong Yuan (Shanghai Jiao Tong University), Jiayi Zhang (Shanghai Jiao Tong University), Zinuo Cai (Shanghai Jiao Tong University), Junchi Yan (Shanghai Jiao Tong University)",Not Found
Dual-view Molecular Pre-training,"Jinhua Zhu (University of Science and Technology of China), Yingce Xia (Microsoft Research AI4Science), Lijun Wu (Microsoft Research AI4Science), Shufang Xie (Renmin University of China), Wengang Zhou (University of Science and Technology of China), Tao Qin (Microsoft Research AI4Science), Houqiang Li (University of Science and Technology of China), Tie-Yan Liu (Microsoft Research AI4Science)",Not Found
Shift-Robust Molecular Relational Learning with Causal Substructure,"Namkyeong Lee (KAIST), Kanghoon Yoon (KAIST), Gyoung S. Na (KRICT), Sein Kim (KAIST), Chanyoung Park (KAIST)","29 May, 2023"
Accelerating Antimicrobial Peptide Discovery with Latent Structure,"Danqing Wang (University of California, Santa Barbara), Zeyu Wen (Huazhong University of Science and Technology), Fei Ye (ByteDance Research), Lei Li (University of California, Santa Barbara), Hao Zhou (Institute for AI Industry Research, Tsinghua University)","28 November, 2022"
ExplainableFold: Understanding AlphaFold Prediction with Explainable AI,"Juntao Tan (Rutgers University), Yongfeng Zhang (Rutgers University)","27 January, 2023"
Automated 3D Pre-Training for Molecular Property Prediction,"Xu Wang (4Paradigm Inc.), Huan Zhao (4Paradigm Inc.), Wei-Wei Tu (4Paradigm Inc.), Quanming Yao (Tsinghua University)","13 June, 2023"
Pre-training Antibody Language Models for Antigen-Specific Computational Antibody Design,"Kaiyuan Gao (School of Computer Science and Technology, Huazhong University of Science and Technology), Lijun Wu (Microsoft Research AI4Science), Jinhua Zhu (CAS Key Laboratory of GIPAS, University of Science and Technology of China), Tianbo Peng (School of Life Sciences and Biomedical Pioneering Innovation Center, Peking University), Yingce Xia (Microsoft Research AI4Science), Liang He (Microsoft Research AI4Science), Shufang Xie (Microsoft Research AI4Science), Tao Qin (Microsoft Research AI4Science), Haiguang Liu (Microsoft Research AI4Science), Kun He (School of Computer Science and Technology, Huazhong University of Science and Technology), Tie-Yan Liu (Microsoft Research AI4Science)",Not Found
WHEN: A Wavelet-DTW Hybrid Attention Network for Heterogeneous Time Series Analysis,"Jingyuan Wang (Beihang University; Ministry of Industry and Information Technology), Chen Yang (Beihang University), Xiaohan Jiang (Beihang University), Junjie Wu (Beihang University; Ministry of Industry and Information Technology)",Not Found
Source-Free Domain Adaptation with Temporal Imputation for Time Series Data,"Mohamed Ragab (Institute for Infocomm Research, Agency for Science Technology and Research (A*STAR)), Emadeldeen Eldele (Center for Frontier AI Research, Agency for Science and Technology and Research (A*STAR)), Min Wu (Institute for Infocomm Research, Agency for Science Technology and Research (A*STAR)), Chuan-Sheng Foo (Institute for Infocomm Research, Agency for Science Technology and Research (A*STAR)), Xiaoli Li (Institute for Infocomm Research, Agency for Science Technology and Research (A*STAR)), Zhenghua Chen (Institute for Infocomm Research, Agency for Science Technology and Research (A*STAR))",July 2023
Networked Time Series Imputation via Position-aware Graph Enhanced Variational Autoencoders,"Dingsu Wang (University of Illinois at Urbana-Champaign), Yuchen Yan (University of Illinois at Urbana-Champaign), Ruizhong Qiu (University of Illinois at Urbana-Champaign), Yada Zhu (IBM Research), Kaiyu Guan (University of Illinois at Urbana-Champaign), Andrew Margenot (University of Illinois at Urbana-Champaign), Hanghang Tong (University of Illinois at Urbana-Champaign)","29 May, 2023"
Sparse Binary Transformers for Multivariate Time Series Modeling,"Matt Gorbett (Colorado State University), Hossein Shirazi (Colorado State University), Indrakshi Ray (Colorado State University)",August 2023
Imputation-based Time-Series Anomaly Detection with Conditional Weight-Incremental Diffusion Models,"Chunjing Xiao (Henan University), Zehua Gou (Henan University), Wenxin Tai (University of Electronic Science and Technology of China), Kunpeng Zhang (University of Maryland, College Park), Fan Zhou (University of Electronic Science and Technology of China)",Not Found
An Observed Value Consistent Diffusion Model for Imputing Missing Values in Multivariate Time Series,"Xu Wang (University of Science and Technology of China), Hongbo Zhang (University of Science and Technology of China), Pengkun Wang (University of Science and Technology of China; Suzhou Institute for Advanced Research, USTC), Yudong Zhang (University of Science and Technology of China), Binwu Wang (University of Science and Technology of China), Zhengyang Zhou (University of Science and Technology of China; Suzhou Institute for Advanced Research, USTC), Yang Wang (University of Science and Technology of China; Suzhou Institute for Advanced Research, USTC)",Not Found
Preemptive Detection of Fake Accounts on Social Networks via Multi-Class Preferential Attachment Classifiers,"Adam Breuer (Dartmouth), Nazanin Khosravani (Meta), Michael Tingley (Meta), Bradford Cottel (Meta)",August 2023
Rumor Detection with Diverse Counterfactual Evidence,"Kaiwei Zhang (Institute of Information Engineering, Chinese Academy of Sciences; School of Cyber Security, University of Chinese Academy of Sciences), Junchi Yu (MAISCRIPAC, Institute of Automation, Chinese Academy of Sciences; University of Chinese Academy of Sciences), Haichao Shi (Institute of Information Engineering, Chinese Academy of Sciences), Jian Liang (MAISCRIPAC, Institute of Automation, Chinese Academy of Sciences), Xiao-Yu Zhang (Institute of Information Engineering, Chinese Academy of Sciences)",July 2023
Adversaries with Limited Information in the Friedkin-Johnsen Model,"Sijing Tu (KTH Royal Institute of Technology), Stefan Neumann (KTH Royal Institute of Technology), Aristides Gionis (KTH Royal Institute of Technology)","17 June, 2023"
Shilling Black-Box Review-Based Recommender Systems through Fake Review Generation,"Hung-Yun Chiang (National Tsing Hua University), Yi-Syuan Chen (National Yang Ming Chiao Tung University), Yun-Zhu Song (National Yang Ming Chiao Tung University), Hong-Han Shuai (National Yang Ming Chiao Tung University), Jason S. Chang (National Tsing Hua University)",June 2023
Maximizing Neutrality in News Ordering,"Rishi Advani (University of Illinois Chicago), Paolo Papotti (EURECOM), Abolfazl Asudeh (University of Illinois Chicago)","25 May, 2023"
DECOR: Degree-Corrected Social Graph Refinement for Fake News Detection,"Jiaying Wu (National University of Singapore), Bryan Hooi (National University of Singapore)",July 2023
Improving Conversational Recommendation Systems via Counterfactual Data Simulation,"Xiaolei Wang (Renmin University of China), Kun Zhou (Renmin University of China), Xinyu Tang (Renmin University of China), Wayne Xin Zhao (Renmin University of China), Fan Pan (Huawei Poisson Lab), Zhao Cao (Huawei Poisson Lab), Ji-Rong Wen (Renmin University of China)",June 2023
