Title,Authors,Institutes,Submission Date
Linguistic Binding in Diffusion Models: Enhancing Attribute Correspondence through Attention Map Alignment,"['Royi Rassin', 'Eran Hirsch', 'Daniel Glickman', 'Shauli Ravfogel', 'Yoav Goldberg', 'Gal Chechik']","['Research, Google(research.google.com)', 'Bar-Ilan University(biu.ac.il)', 'Bar-Ilan University(biu.ac.il)', 'New York University(nyu.edu)', 'Bar-Ilan University(biu.ac.il)', 'Bar Ilan University(biu.ac.il)']","15 June, 2023"
The Surprising Effectiveness of Diffusion Models for Optical Flow and Monocular Depth Estimation,"['Saurabh Saxena', 'Charles Herrmann', 'Junhwa Hur', 'Abhishek Kar', 'Mohammad Norouzi', 'Deqing Sun', 'David J. Fleet']","['Google(google.com)', 'Google(google.com)', 'Google(google.com)', 'Facebook(meta.com)', 'Google Brain(google.com)', 'Google DeepMind(google.com)', 'Google DeepMind(google.com)']","2 June, 2023"
Direct Preference Optimization: Your Language Model is Secretly a Reward Model,"['Rafael Rafailov', 'Archit Sharma', 'Eric Mitchell', 'Christopher D Manning', 'Stefano Ermon', 'Chelsea Finn']","['Computer Science,Stanford University(stanford.edu)', 'Google(google.com)', 'Stanford University(stanford.edu)', 'Computer Science Department, Stanford University(cs.stanford.edu)', 'Computer Science,Stanford University(stanford.edu)', 'Physical Intelligence(physicalintelligence.company)']","29 May, 2023"
Ordering-based Conditions for Global Convergence of Policy Gradient Methods,"['Jincheng Mei', 'Bo Dai', 'Alekh Agarwal', 'Mohammad Ghavamzadeh', 'Csaba Szepesvari', 'Dale Schuurmans']","['Google DeepMind(google.com)', 'Georgia Institute of Technology(gatech.edu)', 'Google(google.com)', 'Amazon AGI(amazon.com)', 'University of Alberta(ualberta.ca)', 'Not Found']",April 2025
Tester-Learners for Halfspaces: Universal Algorithms,"['Aravind Gollakota', 'Adam Klivans', 'Konstantinos Stavropoulos', 'Arsen Vasilyan']","['Apple(apple.com)', 'University of Texas, Austin(cs.utexas.edu)', 'Not Found', 'Not Found']",May 2023
Conformal Meta-learners for Predictive Inference of Individual Treatment Effects,"['Ahmed Alaa', 'Zaid Ahmad', 'Mark van der Laan']","['University of California, Berkeley,University of California, Berkeley(berkeley.edu)', 'Not Found', 'Not Found']","7 February, 2024"
Optimizing Solution-Samplers for Combinatorial Problems: The Landscape of Policy-Gradient Method,"['Constantine Caramanis', 'Dimitris Fotakis', 'Alkis Kalavasis', 'Vasilis Kontonis', 'Christos Tzamos']","['University of Texas, Austin(utexas.edu)', 'Archimedes,Archimedes/Athena RC(archimedesai.gr)', 'Yale University(yale.edu)', ', University of Texas at Austin(cs.utexas.edu)', 'University of Athens(uoa.gr)']","8 October, 2023"
Learning Transformer Programs,"['Dan Friedman', 'Alexander Wettig', 'Danqi Chen']","['Princeton University(princeton.edu)', 'Department of Computer Science,Princeton University(princeton.edu)', 'Computer Science,Department of Computer Science, Princeton University(cs.princeton.edu)']",August 2025
Clifford Group Equivariant Neural Networks,"['David Ruhe', 'Johannes Brandstetter', 'Patrick Forré']","['University of Amsterdam(uva.nl)', 'Emmi AI(emmi.ai)', 'Not Found']",July 2024
Learning Linear Causal Representations from Interventions under General Nonlinear Mixing,"['Simon Buchholz', 'Goutham Rajendran', 'Elan Rosenfeld', 'Bryon Aragam', 'Bernhard Schölkopf', 'Pradeep Kumar Ravikumar']","['Max-Planck Institute(mpg.de)', 'Meta GenAI(meta.com)', 'Google Research(research.google.com)', 'University of Chicago(uchicago.edu)', 'Not Found', 'Carnegie Mellon University(cmu.edu)']","3 June, 2023"
How to Turn Your Knowledge Graph Embeddings into Generative Models,"['Lorenzo Loconte', 'Nicola Di Mauro', 'Robert Peharz', 'Antonio Vergari']","['School of informatics,University of Edinburgh(sms.ed.ac.uk)', 'University of Bari(uniba.it)', 'Technische Universität Graz(tugraz.at)', 'School of Informatics,University of Edinburgh, University of Edinburgh(ed.ac.uk)']","25 May, 2023"
Rotating Features for Object Discovery,"['Sindy Löwe', 'Phillip Lippe', 'Francesco Locatello', 'Max Welling']","['University of Amsterdam(uva.nl)', 'Google DeepMind(google.com)', 'Institute of Science and Technology(ist.ac.at)', 'Informatics Institute,University of Amsterdam(uva.nl)']","1 June, 2023"
Emergence of Shape Bias in Convolutional Neural Networks through Activation Sparsity,"['Tianqin Li', 'Ziqi Wen', 'Yangfan Li', 'Tai Sing Lee']","['CMU, Carnegie Mellon University(andrew.cmu.edu)', 'University of California, Santa Barbara(ucsb.edu)', 'Northwestern University(northwestern.edu)', 'Computer Science,Carnegie Mellon University(cmu.edu)']",October 2023
DiffuseBot: Breeding Soft Robots With Physics-Augmented Generative Diffusion Models,"['Tsun-Hsuan Wang', 'Juntian Zheng', 'Pingchuan Ma', 'Yilun Du', 'Byungchul Kim', 'Andrew Everett Spielberg', 'Joshua B. Tenenbaum', 'Chuang Gan', 'Daniela Rus']","['Massachusetts Institute of Technology(mit.edu)', 'Tsinghua University, Tsinghua University(tsinghua.edu.cn)', 'OpenAI(openai.com)', 'Google(google.com)', 'Massachusetts Institute of Technology(mit.edu)', 'School of Engineering and Applied Sciences, Harvard University(seas.harvard.edu)', 'Massachusetts Institute of Technology(mit.edu)', 'University of Massachusetts at Amherst(umass.edu)', 'CSAIL,Massachusetts Institute of Technology(mit.edu)']",November 2023
Monarch Mixer: A Simple Sub-Quadratic GEMM-Based Architecture,"['Daniel Y Fu', 'Simran Arora', 'Jessica Grogan', 'Isys Johnson', 'Sabri Eyuboglu', 'Armin W Thomas', 'Benjamin Frederick Spector', 'Michael Poli', 'Atri Rudra', 'Christopher Re']","['Stanford University(stanford.edu)', 'Stanford University(stanford.edu)', 'State University of New York at Buffalo(buffalo.edu)', 'State University of New York, Buffalo(buffalo.edu)', 'Stanford University(stanford.edu)', 'Liquid AI(liquid.ai)', 'Stanford University(stanford.edu)', 'Stanford University(stanford.edu)', 'State University of New York, Buffalo(buffalo.edu)', 'Not Found']",October 2023
QLoRA: Efficient Finetuning of Quantized LLMs,"['Tim Dettmers', 'Artidoro Pagnoni', 'Ari Holtzman', 'Luke Zettlemoyer']","['Machine learning; Computer Science,Carnegie Mellon University(cmu.edu)', 'Facebook(meta.com)', ', University of Chicago(cs.uchicago.edu)', 'University of Washington(cs.washington.edu)']",May 2023
User-Level Differential Privacy With Few Examples Per User,"['Badih Ghazi', 'Pritish Kamath', 'Ravi Kumar', 'Pasin Manurangsi', 'Raghu Meka', 'Chiyuan Zhang']","['Google(google.com)', 'Google Research(google.com)', 'Research,Google(google.com)', 'Research,Google(google.com)', 'University of California, Los Angeles(ucla.edu)', 'Google(google.com)']",September 2023
Why think step by step? Reasoning emerges from the locality of experience,"['Ben Prystawski', 'Michael Y. Li', 'Noah Goodman']","['Psychology,Stanford University(stanford.edu)', 'Computer Science,Stanford University(stanford.edu)', 'Psychology and Computer Science,Stanford University(stanford.edu)']",Not Found
Brain Diffusion for Visual Exploration: Cortical Discovery using Large Scale Generative Models,"['Andrew Luo', 'Margaret Marie Henderson', 'Leila Wehbe', 'Michael J. Tarr']","['Institute of Data Science,University of Hong Kong(hku.hk)', 'Psychology,Carnegie Mellon University(cmu.edu)', 'Carnegie Mellon University(cmu.edu)', 'Psychology/Neuroscience,Carnegie Mellon University(cmu.edu)']","5 June, 2023"
Are Emergent Abilities of Large Language Models a Mirage?,"['Rylan Schaeffer', 'Brando Miranda', 'Sanmi Koyejo']","['Google(google.com)', 'Stanford University(stanford.edu)', 'Virtue AI(virtueai.com)']",Not Found
Additive Decoders for Latent Variables Identification and Cartesian-Product Extrapolation,"['Sebastien Lachapelle', 'Divyat Mahajan', 'Ioannis Mitliagkas', 'Simon Lacoste-Julien']","['SAIL Montreal,Samsung(samsung.com)', 'Montreal Institute of Learning Algorithms(mila.quebec)', 'Archimedes Research Unit,Athena Research Center(athenarc.gr)', 'University of Montreal(umontreal.ca)']","5 July, 2023"
Fine-Tuning Language Models with Just Forward Passes,"['Sadhika Malladi', 'Tianyu Gao', 'Eshaan Nichani', 'Alex Damian', 'Jason D. Lee', 'Danqi Chen', 'Sanjeev Arora']","['Princeton University(princeton.edu)', 'Computer Science,Princeton University(princeton.edu)', 'Princeton University(princeton.edu)', 'Not Found', 'Princeton University(princeton.edu)', 'Computer Science,Department of Computer Science, Princeton University(cs.princeton.edu)', 'Princeton University(princeton.edu)']","26 May, 2023"
Online PCA in Converging Self-consistent Field Equations,"['Xihan Li', 'Xiang Chen', 'Rasul Tutunov', 'Haitham Bou Ammar', 'Lei Wang', 'Jun Wang']","['University College London(ucl.ac.uk)', ""Noah's Ark Lab,Huawei Technologies Ltd.(huawei.com)"", 'Massachusetts Institute of Technology(mit.edu)', 'Huawei R&D UK(huawei.com)', 'Chinese Academy of Sciences(iphy.ac.cn)', 'Computer Science,University College London(ucl.ac.uk)']",Not Found
Don’t blame Dataset Shift! Shortcut Learning due to Gradients and Cross Entropy,"['Aahlad Manas Puli', 'Lily H Zhang', 'Yoav Wald', 'Rajesh Ranganath']","['Data Science,New York University(nyu.edu)', 'Google DeepMind,Google(google.com)', 'New York University(nyu.edu)', 'Not Found']",Not Found
On Slicing Optimality for Mutual Information,"['Ammar Fayad', 'Majd Ibrahim']","['Massachusetts Institute of Technology(mit.edu)', 'Higher Institute for Applied Sciences and Technology(hiast.edu.sy)']",Not Found
k-Median Clustering via Metric Embedding: Towards Better Initialization with Differential Privacy,"['Chenglin Fan', 'Ping Li', 'Xiaoyun Li']","['Research, Baidu(research.baidu.com)', 'VecML Inc.(vecml.com)', 'LinkedIn(linkedin.com)']","26 June, 2022"
"AMAG: Additive, Multiplicative and Adaptive Graph Neural Network For Forecasting Neuron Activity","['Jingyuan Li', 'Leo Scholl', 'Trung Le', 'Pavithra Rajeswaran', 'Amy L Orsborn', 'Eli Shlizerman']","['ECE,University of Washington, Seattle(uw.edu)', 'Not Found', 'University of Washington, Seattle(uw.edu)', 'Bioengineering,University of Washington(uw.edu)', 'University of Washington, Seattle(uw.edu)', 'Electrical and computer engineering,University of Washington(u.washington.edu)']",Not Found
