Title,Authors_Institutes,Submission Date
Multi-Task Learning for Routing Problem with Cross-Problem Zero-Shot Generalization,Fei Liu (City University of Hong Kong); Xi Lin (City University of Hong Kong); Zhenkun Wang (Southern University of Science and Technology); Qingfu Zhang (City University of Hong Kong); Tong Xialiang (Huawei Technologies Ltd.); Mingxuan Yuan (Huawei Technologies Ltd.),"23 February, 2024"
CoSLight: Co-optimizing Collaborator Selection and Decision-making to Enhance Traffic Signal Control,"Jingqing Ruan (Institute of Automation, Chinese Academy of Science, Chinese Academy of Sciences); Ziyue Li (EWI gGmbH, Sensetime Research); Hua Wei (Arizona State University); Haoyuan Jiang (Baidu Inc.); Jiaming Lu (Fudan University); Xuantang Xiong (Institute of Automation, Chinese Academy of Science, Chinese Academy of Sciences); Hangyu Mao (Sensetime Research); Rui Zhao (Sensetime Research, Qing Yuan Research Institute, Shanghai Jiao Tong University)","27 May, 2024"
CrossLight: Offline-to-Online Reinforcement Learning for Cross-City Traffic Signal Control,"Qian Sun (Hong Kong University of Science and Technology); Rui Zha (University of Science and Technology of China); Le Zhang (Baidu Inc.); Jingbo Zhou (Baidu Inc.); Yu Mei (Baidu Inc.); Zhiling Li (Baidu Inc.); Hui Xiong (Hong Kong University of Science and Technology (Guangzhou), Hong Kong University of Science and Technology)",Not Found
Online Preference Weight Estimation Algorithm with Vanishing Regret for Car-Hailing in Road Network,Yucen Gao (Shanghai Jiaotong University); Zhehao Zhu (Shanghai Jiaotong University); Mingqian Ma (Shanghai Jiaotong University); Fei Gao (Didi Global Inc.); Hui Gao (Didi Global Inc.); Yangguang Shi (Shandong University); Xiaofeng Gao (Shanghai Jiao Tong University),Not Found
Rethinking Order Dispatching in Online Ride-Hailing Platforms,Zhaoxing Yang (Shanghai Jiao Tong University); Haiming Jin (Shanghai Jiao Tong University); Guiyun Fan (Shanghai Jiao Tong University); Min Lu (Didi Chuxing); Yiran Liu (Didi Chuxing); Xinlang Yue (Didi Chuxing); Hao Pan (Didi Chuxing); Zhe Xu (Didi Chuxing); Guobin Wu (Didi Chuxing); Qun Li (Didi Chuxing); Xiaotong Wang (Didi Chuxing); Jiecheng Guo (Didi Chuxing),Not Found
STONE: A Spatio-temporal OOD Learning Framework Kills Both Spatial and Temporal Shifts,"Binwu Wang (University of Science and Technology of China); Jiaming Ma(University of Science and Technology of China); Pengkun Wang (Suzhou Institute for Advanced Research, University of Science and Technology of China); Xu Wang (Suzhou Institute for Advanced Research, University of Science and Technology of China); Yudong Zhang (University of Science and Technology of China); Zhengyang Zhou(Suzhou Institute for Advanced Research, University of Science and Technology of China); Yang Wang(University of Science and Technology of China)",Not Found
UniST: A Prompt-empowered Universal Model for Urban Spatio-temporal Prediction,"Yuan Yuan (Department of Electronic Engineering, BNRist, Tsinghua University); Jingtao Ding (Department of Electronic Engineering, BNRist, Tsinghua University); Jie Feng (Department of Electronic Engineering, BNRist, Tsinghua University); Depeng Jin (Department of Electronic Engineering, BNRist, Tsinghua University); Yong Li (Department of Electronic Engineering, BNRist, Tsinghua University)","19 February, 2024"
MSPipe: Efficient Temporal GNN Training via Staleness-Aware Pipeline,Guangming Sheng (The University of Hong Kong); Junwei Su (The University of Hong Kong); Chao Huang (The University of Hong Kong); Chuan Wu (The University of Hong Kong),"23 February, 2024"
Scalable Temporal Motif Densest Subnetwork Discovery,Ilie Sarpe (KTH Royal Institute of Technology); Fabio Vandin (University of Padova); Aristides Gionis (KTH Royal Institute of Technology),"15 June, 2024"
Representation Learning of Temporal Graphs with Structural Roles,"Huaming Du (School of Business Administration, Southwestern University of Finance and Economics); Long Shi (Financial Intelligence and Financial Engineering Key Laboratory, Southwestern University of Finance and Economics); Xingyan Chen (Financial Intelligence and Financial Engineering Key Laboratory, Southwestern University of Finance and Economics); Yu Zhao (Financial Intelligence and Financial Engineering Key Laboratory, Southwestern University of Finance and Economics); Hegui Zhang (School of Data Science and Artificial Intelligence, Dongbei University of Finance and Economics); Carl Yang (Department of Computer Science, Emory University); Fuzhen Zhuang (Institute of Artificial Intelligence, Beihang University, SKLSDE, School of Computer Science, Beihang University); Gang Kou (Xiangjiang Laboratory, School of Business Administration, Southwestern University of Finance and Economics)",Not Found
MemMap: An Adaptive and Latent Memory Structure for Dynamic Graph Learning,"Shuo Ji (CCSE Lab, Beihang University); Mingzhe Liu (CCSE Lab, Beihang University); Leilei Sun (CCSE Lab, Beihang University, Key Laboratory of Data Science and Intelligent Computing, International Innovation Institute, Beihang University); Chuanren Liu (University of Tennessee); Tongyu Zhu (CCSE Lab, Beihang University, Key Laboratory of Data Science and Intelligent Computing, International Innovation Institute, Beihang University)",Not Found
Making Temporal Betweenness Computation Faster and Restless,"Filippo Brunelli (European Commission — JRC); Pierluigi Crescenzi (Gran Sasso Science Institute); Laurent Viennot (INRIA, DI ENS)",January 2025
Latent Diffusion-based Data Augmentation for Continuous-Time Dynamic Graph Model,"Yuxing Tian (International Digital Economy Academy, IDEA Research); Aiwen Jiang (Jiangxi Normal University); Qi Huang (Jiangxi Normal University); Jian Guo (International Digital Economy Academy, IDEA Research); Yiyan Qi (International Digital Economy Academy, IDEA Research)","11 July, 2024"
Topology-monitorable Contrastive Learning on Dynamic Graphs,Zulun Zhu (Nanyang Technological University); Kai Wang (Nanyang Technological University); Haoyu Liu (Nanyang Technological University); Jintang Li (Sun Yat-Sen University); Siqiang Luo (Nanyang Technological University),Not Found
SLADE: Detecting Dynamic Anomalies in Edge Streams without Labels via Self-Supervised Learning,Jongha Lee (KAIST); Sunwoo Kim (KAIST); Kijung Shin (KAIST),"19 February, 2024"
Graph Anomaly Detection with Few Labels: A Data-Centric Approach,"Xiaoxiao Ma (School of Computing, Macquarie University); Ruikun Li (Business School, The University of Sydney); Fanzhen Liu (School of Computing, Macquarie University); Kaize Ding (Department of Statistics and Data Science, Northwestern University); Jian Yang (School of Computing, Macquarie University); Jia Wu (School of Computing, Macquarie University)",Not Found
Motif-Consistent Counterfactuals with Adversarial Refinement for Graph-level Anomaly Detection,Chunjing Xiao (Henan University); Shikang Pang (Henan University); Wenxin Tai (University of Electronic Science and Technology of China); Yanlong Huang (University of Electronic Science and Technology of China); Goce Trajcevski (Iowa State University); Fan Zhou (University of Electronic Science and Technology of China),July 2024
Fast Unsupervised Deep Outlier Model Selection with Hypernetworks,Xueying Ding (Carnegie Mellon University); Yue Zhao (University of Southern California); Leman Akoglu (Carnegie Mellon University),"19 July, 2023"
ReCDA: Concept Drift Adaptation with Representation Enhancement for Network Intrusion Detection,Shuo Yang (The University of Hong Kong); Xinran Zheng (Tsinghua University); Jinze Li (The University of Hong Kong); Jinfeng Xu (The University of Hong Kong); Xingjun Wang (Tsinghua University); Edith C. H. Ngai (The University of Hong Kong),Not Found
SEBot: Structural Entropy Guided Multi-View Contrastive learning for Social Bot Detection,Yingguang Yang (University of Science and Technology of China); Qi Wu (University of Science and Technology of China); Buyun He (University of Science and Technology of China); Hao Peng (Beihang University); Renyu Yang (Beihang University); Zhifeng Hao (Shantou University); Yong Liao (University of Science and Technology of China),May 2024
EntropyStop: Unsupervised Deep Outlier Detection with Loss Entropy,Yihong Huang (East China Normal University); Yuang Zhang (East China Normal University); Liping Wang (East China Normal University); Fan Zhang (Guangzhou University); Xuemin Lin (Shanghai Jiaotong University),"21 May, 2024"
Counterfactual Generative Models for Time-Varying Treatments,Shenghao Wu (Carnegie Mellon University); Wenbin Zhou (Carnegie Mellon University); Minshuo Chen (Princeton University); Shixiang Zhu (Carnegie Mellon University),"25 May, 2023"
CE-RCFR: Robust Counterfactual Regression for Consensus-Enabled Treatment Effect Estimation,"Fan Wang (College of Computer Science and Technology, Zhejiang University); Chaochao Chen (College of Computer Science and Technology, Zhejiang University); Weiming Liu (College of Computer Science and Technology, Zhejiang University); Tianhao Fan (College of Computer Science and Technology, China University of Petroleum (East China)); Xinting Liao (College of Computer Science and Technology, Zhejiang University); Yanchao Tan (College of Computer and Data Science/College of Software, Fuzhou University); Lianyong Qi (College of Computer Science and Technology, China University of Petroleum (East China)); Xiaolin Zheng (College of Computer Science and Technology, Zhejiang University)",Not Found
CURLS: Causal Rule Learning for Subgroups with Significant Treatment Effect,"Jiehui Zhou (State Key Lab of CAD&CG, Zhejiang University, DAMO Academy, Alibaba Group); Linxiao Yang (DAMO Academy, Alibaba Group); Xingyu Liu (State Key Lab of CAD&CG, Zhejiang University); Xinyue Gu (DAMO Academy, Alibaba Group); Liang Sun (DAMO Academy, Alibaba Group); Wei Chen (State Key Lab of CAD&CG, Zhejiang University)",July 2024
Conformal Counterfactual Inference under Hidden Confounding,Zonghao Chen (University College London); Ruocheng Guo (Bytedance Research); Jean-Francois Ton (Bytedance Research); Yang Liu (Bytedance Research),May 2024
Learning Causal Networks from Episodic Data,Osman Mian (CISPA Helmholtz Center for Information Security); Sarah Mameche (CISPA Helmholtz Center for Information Security); Jilles Vreeken (CISPA Helmholtz Center for Information Security),Not Found
Scalable Differentiable Causal Discovery in the Presence of Latent Confounders with Skeleton Posterior,Pingchuan Ma (Hong Kong University of Science and Technology); Rui Ding (Microsoft Research); Qiang Fu (Microsoft); Jiaru Zhang (Shanghai Jiao Tong University); Shuai Wang (Hong Kong University of Science and Technology); Shi Han (Microsoft Research Asia); Dongmei Zhang (Microsoft),June 2024
Causal Estimation of Exposure Shifts with Neural Networks and an Application to Inform Air Quality Standards in the US,Mauricio Tec (Harvard University); Kevin Josey (Colorado School of Public Health); Oladimeji Mudele (Harvard University); Francesca Dominici (Harvard University),Not Found
FLea: Addressing Data Scarcity and Label Skew in Federated Learning via Privacy-preserving Feature Augmentation,"Tong Xia (University of Cambridge); Abhirup Ghosh (University of Birmingham, University of Cambridge); Xinchi Qiu (University of Cambridge); Cecilia Mascolo (University of Cambridge)","13 June, 2024"
FedRoLA: Robust Federated Learning Against Model Poisoning via Layer-based Aggregation,Gang Yan (Binghamton University); Hao Wang (Stevens Institute of Technology); Xu Yuan (University of Delaware); Jian Li (Stony Brook University),Not Found
FedSAC: Dynamic Submodel Allocation for Collaborative Fairness in Federated Learning,Zihui Wang (Xiamen University); Zheng Wang (Xiamen University); Lingjuan Lyu (Sony Research); Zhaopeng Peng (Xiamen University); Zhicheng Yang (Xiamen University); Chenglu Wen (Xiamen University); Rongshan Yu (National University of Singapore); Cheng Wang (Xiamen University); Xiaoliang Fan (Xiamen University),May 2024
Enabling Collaborative Test-Time Adaptation in Dynamic Environment via Federated Learning,"Jiayuan Zhang (State Key Laboratory of Virtual Reality Technology and Systems, School of Computer Science and Engineering, Beihang University); Xuefeng Liu (State Key Laboratory of Virtual Reality Technology and Systems, School of Computer Science and Engineering, Beihang University, Zhongguancun Laboratory); Zhang Yukang (Shenzhen International Graduate School, Tsinghua University); Guogang Zhu (State Key Laboratory of Virtual Reality Technology and Systems, School of Computer Science and Engineering, Beihang University); Jianwei Niu (State Key Laboratory of Virtual Reality Technology and Systems, School of Computer Science and Engineering, Beihang University, Zhongguancun Laboratory); Shaojie Tang (Jindal School of Management, The University of Texas at Dallas)",Not Found
CASA: Clustered Federated Learning with Asynchronous Clients,Boyi Liu (Beihang University); Yiming Ma (Beihang University); Zimu Zhou (City University of Hong Kong); Yexuan Shi (Beihang University); Shuyuan Li (Beihang University); Yongxin Tong (Beihang University),Not Found
FLAIM: AIM-based Synthetic Data Generation in the Federated Setting,"Samuel Maddock (University of Warwick); Graham Cormode (Meta AI, University of Warwick); Carsten Maple (University of Warwick)","5 October, 2023"
FedNLR: Federated Learning with Neuron-wise Learning Rates,"Haozhao Wang (School of Computer Science and Technology, Huazhong University of Science and Technology); Peirong Zheng (Hong Kong Polytechnic University); Xingshuo Han (Nanyang Technological University); Wenchao Xu (The Hong Kong Polytechnic University); Ruixuan Li (School of Computer Science and Technology, Huazhong University of Science and Technology); Tianwei Zhang (Nanyang Technological University)",Not Found
Towards Test Time Adaptation via Calibrated Entropy Minimization,Hao Yang (National University of Defense Technology); Min Wang (National University of Defense Technology); Jinshen Jiang (National University of Defense Technology); Yun Zhou (National University of Defense Technology),Not Found
Fast and Accurate Domain Adaptation for Irregular Tensor Decomposition,Junghun Kim (Seoul National University); Ka Hyun Park(Seoul National University); Jun-Gi Jang(University of Illinois at Urbana-Champaign); U Kang (Seoul National University),Not Found
POND: Multi-Source Time Series Domain Adaptation with Information-Aware Prompt Tuning,Junxiang Wang (NEC Labs America); Guangji Bai (Emory University); Wei Cheng (NEC Labs America); Zhengzhang Chen (NEC Labs America); Liang Zhao (Emory University); Haifeng Chen (NEC Labs America),"19 December, 2023"
Practical Single Domain Generalization via Training-time and Test-time Learning,"Shuai Yang (School of Information and Artificial Intelligence, Anhui Agricultural University); Zhen Zhang (School of Information and Artificial Intelligence, Anhui Agricultural University); Lichuan Gu (School of Information and Artificial Intelligence, Anhui Agricultural University)",Not Found
Model-Agnostic Random Weighting for Out-of-Distribution Generalization,Yue He (Tsinghua University); Pengfei Tian (Tsinghua University); Renzhe Xu (Tsinghua University); Xinwei Shen (ETH Zürich); Xingxuan Zhang (Tsinghua University); Peng Cui (Tsinghua University),Not Found
A Population-to-individual Tuning Framework for Adapting Pretrained LM to On-device User Intent Prediction,"Jiahui Gong (Tsinghua University); Jingtao Ding (Tsinghua University); Fanjin Meng (Tsinghua University); Guilong Chen (Honor Device Co., Ltd.); Hong Chen (Honor Device Co., Ltd.); Shen Zhao (Honor Device Co., Ltd.); Haisheng Lu (Honor Device Co., Ltd.); Yong Li (Tsinghua University)",August 2024
Diverse Intra- and Inter-Domain Activity Style Fusion for Cross-Person Generalization in Activity Recognition,Junru Zhang (Zhejiang University); Lang Feng (Zhejiang University); Zhidan Liu (Shenzhen University); Yuhan Wu (Zhejiang University); Yang He (Zhejiang University); Yabo Dong (Zhejiang University); Duanqing Xu (Zhejiang University),"6 June, 2024"
RecExplainer: Aligning Large Language Models for Explaining Recommendation Models,Yuxuan Lei (University of Science and Technology of China); Jianxun Lian (Microsoft Research Asia); Jing Yao (Microsoft Research Asia); Xu Huang (University of Science and Technology of China); Defu Lian (University of Science and Technology of China); Xing Xie (Microsoft Research Asia),"17 November, 2023"
Bridging Items and Language: A Transition Paradigm for Large Language Model-Based Recommendation,Xinyu Lin (National University of Singapore); Wenjie Wang (National University of Singapore); Yongqi Li (The Hong Kong Polytechnic University); Fuli Feng (University of Science and Technology of China); See-Kiong Ng (National University of Singapore); Tat-Seng Chua (National University of Singapore),"10 October, 2023"
CoRAL: Collaborative Retrieval-Augmented Large Language Models Improve Long-tail Recommendation,Junda Wu (University of California San Diego); Cheng-Chun Chang (Columbia University); Tong Yu (Adobe Research); Zhankui He (University of California San Diego); Jianing Wang (University of California San Diego); Yupeng Hou (University of California San Diego); Julian McAuley (University of California San Diego),March 2024
Large Language Models meet Collaborative Filtering: An Efficient All-round LLM-based Recommender System,Sein Kim (Korea Advanced Institute of Science and Technology); Hongseok Kang (Korea Advanced Institute of Science and Technology); Seungyoon Choi (Korea Advanced Institute of Science and Technology); Donghyun Kim (NAVER Corporation); MinChul Yang (NAVER Corporation); Chanyoung Park (Korea Advanced Institute of Science and Technology),"17 April, 2024"
DisCo: Towards Harmonious Disentanglement and Collaboration between Tabular and Semantic Space for Recommendation,Kounianhua Du (Shanghai Jiao Tong University); Jizheng Chen (Shanghai Jiaotong University); Jianghao Lin (Shanghai Jiaotong University); Yunjia Xi (Shanghai Jiaotong University); Hangyu Wang (Shanghai Jiao Tong University); Xinyi Dai (Huawei Noah’s Ark Lab); Bo Chen (Huawei Noah’s Ark Lab); Ruiming Tang (Huawei Noah’s Ark Lab); Weinan Zhang (Shanghai Jiao Tong University),"20 May, 2024"
Adapting Job Recommendations to User Preference Drift with Behavioral-Semantic Fusion Learning,"Xiao Han (City University of Hong Kong); Chen Zhu (Career Science Lab, BOSS Zhipin, University of Science and Technology of China); Xiao Hu (Career Science Lab, BOSS Zhipin); Chuan Qin (Career Science Lab, BOSS Zhipin); Xiangyu Zhao (City University of Hong Kong); Hengshu Zhu (Career Science Lab, BOSS Zhipin)",July 2024
EAGER: Two-Stream Generative Recommender with Behavior-Semantic Collaboration,Ye Wang (Zhejiang University); Jiahao Xun (Zhejiang University); Minjie Hong (Zhejiang University); Jieming Zhu (Huawei Noah’s Ark Lab); Tao Jin (Zhejiang University); Lin Wang (Zhejiang University); Haoyuan Li (Zhejiang University); Linjun Li (Zhejiang University); Yan Xia (Zhejiang University); Zhou Zhao (Zhejiang University); Zhenhua Dong (Huawei Noah’s Ark Lab),"20 June, 2024"
Co-Neighbor Encoding Schema: A Light-cost Structure Encoding Method for Dynamic Link Prediction,"Ke Cheng (CCSE Lab, Beihang University); Peng Linzhi (CCSE Lab, Beihang University); Junchen Ye (School of Transportation Science and Engineering, Beihang University); Leilei Sun (CCSE Lab, Beihang University); Bowen Du (Zhongguancun Lab, School of Transportation Science and Engineering, Beihang University)",July 2024
Optimizing Long-tailed Link Prediction in Graph Neural Networks through Structure Representation Enhancement,Yakun Wang (Ant Group); Daixin Wang (Ant Group); Hongrui Liu (Ant Group); Binbin Hu (Ant Group); Yingcui Yan (Ant Group); Qiyang Zhang (Ant Group); Zhiqiang Zhang (Ant Group),July 2024
Heuristic Learning with Graph Neural Networks: A Unified Framework for Link Prediction,"Juzheng Zhang (Department of Electronic Engineering, Tsinghua University); Lanning Wei (Department of Electronic Engineering, Tsinghua University); Zhen Xu (Department of Electronic Engineering, Tsinghua University); Quanming Yao (Department of Electronic Engineering, Tsinghua University)","12 June, 2024"
Conformalized Link Prediction on Graph Neural Networks,Tianyi Zhao (University of Southern California); Jian Kang (University of Rochester); Lu Cheng (University of Illinois Chicago),"26 June, 2024"
Causal Subgraph Learning for Generalizable Inductive Relation Prediction,"Mei Li (Global Institute of Future Technology, Shanghai Jiao Tong University, College of Computer Science, Nankai University); Xiaoguang Liu (College of Computer Science, TMCC, SysNet, DISSec, GTIISC, Nankai University); Hua Ji (Department of Computer Science, Civil Aviation University of China); Shuangjia Zheng (Global Institute of Future Technology, Shanghai Jiao Tong University)",Not Found
Effective Edge-wise Representation Learning in Edge-Attributed Bipartite Graphs,Hewen Wang (National University of Singapore); Renchi Yang (Hong Kong Baptist University); Xiaokui Xiao (National University of Singapore),June 2024
Self-consistent Deep Geometric Learning for Heterogeneous Multi-source Spatial Point Data Prediction,Dazhou Yu (Emory University); Xiaoyun Gong (Emory University); Yun Li (Emory University); Meikang Qiu (Augusta University); Liang Zhao (Emory University),July 2024
MulSTE: A Multi-view Spatio-temporal Learning Framework with Heterogeneous Event Fusion for Demand-supply Prediction,Li Lin (Southeast University); Zhiqiang Lu (Southeast University); Shuai Wang (Southeast University); Yunhuai Liu (Peking University); Zhiqing Hong (Rutgers University); Haotian Wang (JD Logistics); Shuai Wang (Southeast University),Not Found
Long-Term Vessel Trajectory Imputation with Physics-Guided Diffusion Probabilistic Model,"Zhiwen Zhang (School of Artificial Intelligence, Jilin University); Zipei Fan (School of Artificial Intelligence, Jilin University); Zewu Lv (School of Artificial Intelligence, Jilin University); Xuan Song (School of Artificial Intelligence, Jilin University, Research Institute of Trustworthy Autonomous Systems, Southern University of Science and Technology (SUSTech)); Ryosuke Shibasaki (Research & Development Department, LocationMind Inc.)",Not Found
RPMixer: Shaking Up Time Series Forecasting with Random Projections for Large Spatial-Temporal Data,Chin-Chia Michael Yeh (Visa Research); Yujie Fan (Visa Research); Xin Dai (Visa Research); Uday Singh Saini (Visa Research); Vivian Lai (Visa Research); Prince Aboagye (Visa Research); Junpeng Wang (Visa Research); Huiyuan Chen (Visa Research); Yan Zheng (Visa Research); Zhongfang Zhuang (Visa Research); Liang Wang (Visa Research); Wei Zhang (Visa Research),"16 February, 2024"
Heterogeneity-Informed Meta-Parameter Learning for Spatiotemporal Time Series Forecasting,"Zheng Dong (Southern University of Science and Technology); Renhe Jiang (The University of Tokyo); Haotian Gao (The University of Tokyo); Hangchen Liu (Southern University of Science and Technology); Jinliang Deng (Hong Kong University of Science and Technology); Qingsong Wen (Squirrel AI); Xuan Song (Jilin University, Southern University of Science and Technology)","17 May, 2024"
ImputeFormer: Low Rankness-Induced Transformers for Generalizable Spatiotemporal Imputation,Tong Nie (Tongji University); Guoyang Qin (Tongji University); Wei Ma (The Hong Kong Polytechnic University); Yuewen Mei (Tongji University); Jian Sun (Tongji University),"4 December, 2023"
Pre-Training Identification of Graph Winning Tickets in Adaptive Spatial-Temporal Graph Neural Networks,"Wenying Duan (Jiangxi Provincial Key Laboratory of Intelligent Systems and Human-Machine Interaction, Nanchang University); Tianxiang Fang (Nanchang University); Hong Rao (School of Software, Nanchang University); Xiaoxi He (Faculty of Science and Technology, University of Macau)","12 June, 2024"
A Novel Prompt Tuning for Graph Transformers: Tailoring Prompts to Graph Topologies,Jingchao Wang (Guangdong University of Technology); Zhengnan Deng (Guangdong University of Technology); Tongxu Lin (Beijing University of Posts and Telecommunications); Wenyuan Li (Guangdong University of Technology); Shaobin Ling (South China Normal University),Not Found
PolyFormer: Scalable Node-wise Filters via Polynomial Graph Transformer,Jiahong Ma (Renmin University of China); Mingguo He (Renmin University of China); Zhewei Wei (Renmin University of China),July 2024
Graph Mamba: Towards Learning on Graphs with State Space Models,Ali Behrouz (Cornell University); Farnoosh Hashemi (Cornell University),"13 February, 2024"
Understanding Inter-Session Intentions via Complex Logical Reasoning,"Jiaxin Bai (Department of CSE, HKUST); Chen Luo (Amazon.com Inc); Zheng Li (Amazon.com Inc); Qingyu Yin (Amazon.com Inc); Yangqiu Song (Department of CSE, HKUST)","21 December, 2023"
LPFormer: An Adaptive Graph Transformer for Link Prediction,Harry Shomer (Michigan State University); Yao Ma (Rensselaer Polytechnic Institute); Mao Haitao (Michigan State University); Juanhui Li (Michigan State University); Bo Wu (Colorado School of Mines); Jiliang Tang (Michigan State University),"17 October, 2023"
Propagation Structure-Aware Graph Transformer for Robust and Interpretable Fake News Detection,"Junyou Zhu (School of Artificial Intelligence, Optics and Electronics, Northwestern Polytechnical University, Potsdam Institute for Climate Impact Research); Chao Gao (School of Artificial Intelligence, Optics and Electronics, Northwestern Polytechnical University); Ze Yin (College of Computer Science and Electronic Engineering, Hunan University); Xianghua Li (School of Artificial Intelligence, Optics and Electronics, Northwestern Polytechnical University); Juergen Kurths (Potsdam Institute for Climate Impact Research, Department of Physics, Humboldt-Universität zu Berlin)",Not Found
HiGPT: Heterogeneous Graph Language Model,Jiabin Tang (University of Hong Kong); Yuhao Yang (University of Hong Kong); Wei Wei (University of Hong Kong); Lei Shi (Baidu); Long Xia (Baidu Inc.); Dawei Yin (Baidu); Chao Huang (University of Hong Kong),"25 February, 2024"
GraphWiz: An Instruction-Following Language Model for Graph Problems,"Nuo Chen (CSE, Hong Kong University of Science and Technology (Guangzhou)); Yuhan Li (Hong Kong University of Science and Technology (Guangzhou)); Jianheng Tang (Hong Kong University of Science and Technology (Guangzhou)); Jia Li (The Hong Kong University of Science and Technology (Guangzhou))","25 February, 2024"
GAugLLM: Improving Graph Contrastive Learning for Text-Attributed Graphs with Large Language Models,"Yi Fang (SFSC of AI and DL, New York University (Shanghai)); Dongzhe Fan (SFSC of AI and DL, New York University (Shanghai)); Daochen Zha (Rice University); Qiaoyu Tan (SFSC of AI and DL, New York University (Shanghai))",June 2024
Retrieval-Augmented Hypergraph for Multimodal Social Media Popularity Prediction,"Zhangtao Cheng (University of Electronic Science and Technology of China); Jienan Zhang (University of Electronic Science and Technology of China); Xovee Xu (University of Electronic Science and Technology of China); Goce Trajcevski (Iowa State University); Ting Zhong (University of Electronic Science and Technology of China, Kash Institute of Electronics and Information Industry); Fan Zhou (University of Electronic Science and Technology of China, Kash Institute of Electronics and Information Industry)",Not Found
FoRAG: Factuality-optimized Retrieval Augmented Generation for Web-enhanced Long-form Question Answering,Tianchi Cai (Ant Group); Zhiwen Tan (Alibaba Group); Xierui Song (Tsinghua University); Tao Sun (Ant Group); Jiyan Jiang (Tsinghua University); Yunqi Xu (Ant Group); Yinger Zhang (Zhejiang University); Jinjie Gu (Nanjing University),June 2024
Killing Two Birds with One Stone: Cross-modal Reinforced Prompting for Graph and Language Tasks,"Wenyuan Jiang (School of Computer Science and Technology, University of Science and Technology of China); Wenwei Wu (Thrust of Financial Technology, The Hong Kong University of Science and Technology (Guangzhou)); Le Zhang (Baidu Research, Baidu Inc.); Zixuan Yuan (Thrust of Financial Technology, The Hong Kong University of Science and Technology (Guangzhou)); Jian Xiang (Thrust of Financial Technology, The Hong Kong University of Science and Technology (GuangZhou)); Jingbo Zhou (Baidu Research, Baidu Inc.); Hui Xiong (Thrust of Artificial Intelligence, The Hong Kong University of Science and Technology (Guangzhou), Department of Computer Science and Engineering, The Hong Kong University of Science and Technology)",Not Found
Promoting Fairness and Priority in Selecting k-Winners Using IRV,"Md Mouinul Islam (CS, NJIT); Soroush Vahidi (CS, NJIT); Baruch Schieber (CS, NJIT); Senjuti Basu Roy (CS, NJIT)",Not Found
Fairness in Streaming Submodular Maximization Subject to a Knapsack Constraint,"Shuang Cui (School of Computer Science and Technology, University of Science and Technology of China); Kai Han (School of Computer Science and Technology, Soochow University); Shaojie Tang (The University of Texas at Dallas); Feng Li (Shandong University, Key Laboratory of Computing Power Network and Information Security, Ministry of Education, Qilu University of Technology (Shandong Academy of Sciences)); Jun Luo (Nanyang Technological University)",Not Found
"AIM: Attributing, Interpreting, Mitigating Data Unfairness",Zhining Liu (University of Illinois Urbana-Champaign); Ruizhong Qiu (University of Illinois Urbana-Champaign); Zhichen Zeng (University of Illinois Urbana-Champaign); Yada Zhu (IBM Research); Hendrik Hamann (IBM Research); Hanghang Tong (University of Illinois Urbana-Champaign),"13 June, 2024"
Algorithmic Fairness Generalization under Covariate and Dependence Shifts Simultaneously,"Chen Zhao (Baylor University); Kai Jiang (The University of Texas at Dallas); Xintao Wu (University of Arkansas); Haoliang Wang (The University of Texas at Dallas); Latifur Khan (The University of Texas at Dallas); Christan Grant (University of Florida); Feng Chen (The University of Texas, Dallas)","23 November, 2023"
Fair Column Subset Selection,Antonis Matakos (Aalto University); Bruno Ordozgoiti (Unaffiliated); Suhas Thejaswi (Max Planck Institute for Software Systems),December 2024
Using Self-supervised Learning Can Improve Model Fairness,Sofia Yfantidou (Aristotle University of Thessaloniki); Dimitris Spathis (Nokia Bell Labs); Marios Constantinides (Nokia Bell Labs); Athena Vakali (Aristotle University of Thessaloniki); Daniele Quercia (Nokia Bell Labs); Fahim Kawsar (Nokia Bell Labs),June 2024
Neural Collapse Inspired Debiased Representation Learning for Min-max Fairness,Shenyu Lu (Purdue University); Junyi Chai (Purdue University); Xiaoqian Wang (Purdue University),Not Found
Policy-Based Bayesian Active Causal Discovery with Deep Reinforcement Learning,"Heyang Gao (Gaoling School of Artificial Intelligence, Renmin University of China); Zexu Sun (Gaoling School of Artificial Intelligence, Renmin University of China); Hao Yang (Gaoling School of Artificial Intelligence, Renmin University of China); Xu Chen (Gaoling School of Artificial Intelligence, Renmin University of China)",Not Found
Offline Imitation Learning with Model-based Reverse Augmentation,"Jie-Jing Shao (National Key Laboratory for Novel Software Technology, Nanjing University); Haosen Shi (National Key Laboratory for Novel Software Technology, Nanjing University); Lan-Zhe Guo (National Key Laboratory for Novel Software Technology, School of Intelligence Science and Technology, Nanjing University); Yu-Feng Li (National Key Laboratory for Novel Software Technology, School of Artificial Intelligence, Nanjing University)",June 2024
