Title,Authors,Institutes,Submission Date
Pre-training for Speech Translation: CTC Meets Optimal Transport,"['Phuong-Hang Le', 'Hongyu Gong', 'Changhan Wang', 'Juan Pino', 'Benjamin Lecouteux', 'Didier Schwab']","[""Laboratoire d'Informatique Grenoble,Université Grenoble Alpes(univ-grenoble-alpes.fr)"", 'FAIR at Meta(meta.com)', 'Meta AI(meta.com)', 'Meta(fb.com)', 'LIG,Université Grenoble Alpes(univ-grenoble-alpes.fr)', 'Université Grenoble Alpes(grenoble-alpes.fr)']","27 January, 2023"
"Same Pre-training Loss, Better Downstream: Implicit Bias Matters for Language Models","['Hong Liu', 'Sang Michael Xie', 'Zhiyuan Li', 'Tengyu Ma']","['Stanford University(stanford.edu)', 'GenAI,Meta(meta.com)', 'Toyota Technological Institute at Chicago(ttic.edu)', 'Stanford University(stanford.edu)']",October 2022
Facial Expression Recognition with Adaptive Frame Rate based on Multiple Testing Correction,['Andrey Savchenko'],"['Information Systems and Technologies,HSE University(hse.ru)']",Not Found
Transformer-based Stagewise Decomposition for Large-Scale Multistage Stochastic Optimization,"['Chanyeong Kim', 'Jongwoong Park', 'Hyunglip Bae', 'Woo Chang Kim']","['Korea Advanced Institute of Science & Technology(kaist.edu)', 'Korea Advanced Institute of Science & Technology(kaist.edu)', 'Korea Advanced Institute of Science and Technology(kaist.ac.kr)', 'Korea Advanced Institute of Science and Technology(kaist.ac.kr)']","3 April, 2024"
Adapting to game trees in zero-sum imperfect information games,"['Côme Fiegel', 'Pierre MENARD', 'Tadashi Kozuno', 'Remi Munos', 'Vianney Perchet', 'Michal Valko']","[""Ecole Nationale de la Statistique et de l'Administration Economique(ensae.fr)"", 'Ecole Normale Supérieure de Lyon(ens-lyon.fr)', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","23 December, 2022"
" Mu$^2$SLAM: Multitask, Multilingual Speech and Language Models","['Yong Cheng', 'Yu Zhang', 'Melvin Johnson', 'Wolfgang Macherey', 'Ankur Bapna']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","19 December, 2022"
Semi Bandit dynamics in Congestion Games: Convergence to Nash Equilibrium and No-Regret Guarantees.,"['Ioannis Panageas', 'Stratis Skoulakis', 'Luca Viano', 'Xiao Wang', 'Volkan Cevher']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",June 2023
Differentially Private Hierarchical Clustering with Provable Approximation Guarantees,"['Jacob Imola', 'Alessandro Epasto', 'Mohammad Mahdian', 'Vincent Cohen-Addad', 'Vahab Mirrokni']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","31 January, 2023"
Equivariant Polynomials for Graph Neural Networks,"['Omri Puny', 'Derek Lim', 'Bobak Kiani', 'Haggai Maron', 'Yaron Lipman']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","22 February, 2023"
How Bad is Top-$K$ Recommendation under Competing Content Creators?,"['Fan Yao', 'Chuanhao Li', 'Denis Nekipelov', 'Hongning Wang', 'Haifeng Xu']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
