Title,Authors,Institutes,Submission Date
Layer Swapping for Zero-Shot Cross-Lingual Transfer in Large Language Models,"['Lucas Bandarkar', 'Benjamin Muller', 'Pritish Yuvraj', 'Rui Hou', 'Nayan Singhal', 'Hongjiang Lv', 'Bing Liu']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","2 October, 2024"
Bayesian Optimization via Continual Variational Last Layer Training,"['Paul Brunzema', 'Mikkel Jordahn', 'John Willes', 'Sebastian Trimpe', 'Jasper Snoek', 'James Harrison']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",December 2024
Bayesian Optimization of Antibodies Informed by a Generative Model of Evolving Sequences,"['Alan Nawzad Amin', 'Nate Gruver', 'Yilun Kuang', 'Yucen Lily Li', 'Hunter Elliott', 'Calvin McCarter', 'Aniruddh Raghu', 'Peyton Greenside', 'Andrew Gordon Wilson']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",December 2024
Meta-Dynamical State Space Models for Integrative Neural Data Analysis,"['Ayesha Vermani', 'Josue Nassar', 'Hyungju Jeon', 'Matthew Dowling', 'Il Memming Park']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","7 October, 2024"
AutoDAN-Turbo: A Lifelong Agent for Strategy Self-Exploration to Jailbreak LLMs,"['Xiaogeng Liu', 'Peiran Li', 'G. Edward Suh', 'Yevgeniy Vorobeychik', 'Zhuoqing Mao', 'Somesh Jha', 'Patrick McDaniel', 'Huan Sun', 'Bo Li', 'Chaowei Xiao']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","3 October, 2024"
Towards Automated Knowledge Integration From Human-Interpretable Representations,"['Kasia Kobalczyk', 'Mihaela van der Schaar']","['Not Found', 'Not Found']","25 February, 2024"
BRIGHT: A Realistic and Challenging Benchmark for Reasoning-Intensive Retrieval,"['Hongjin SU', 'Howard Yen', 'Mengzhou Xia', 'Weijia Shi', 'Niklas Muennighoff', 'Han-yu Wang', 'Liu Haisu', 'Quan Shi', 'Zachary S Siegel', 'Michael Tang', 'Ruoxi Sun', 'Jinsung Yoon', 'Sercan O Arik', 'Danqi Chen', 'Tao Yu']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","16 July, 2024"
Reinforcement Learning for Control of Non-Markovian Cellular Population Dynamics,"['Josiah C Kratz', 'Jacob Adamczyk']","['Not Found', 'Not Found']","10 October, 2024"
Online Reinforcement Learning in Non-Stationary Context-Driven Environments,"['Pouya Hamadanian', 'Arash Nasr-Esfahany', 'Malte Schwarzkopf', 'Siddhartha Sen', 'Mohammad Alizadeh']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","4 February, 2023"
CEB: Compositional Evaluation Benchmark for Fairness in Large Language Models,"['Song Wang', 'Peng Wang', 'Tong Zhou', 'Yushun Dong', 'Zhen Tan', 'Jundong Li']","['CS,University of Central Florida(ucf.edu)', 'Department of Computer Science,University of Virginia, Charlottesville(virginia.edu)', 'School of Engineering and Applied Science,University of Virginia, Charlottesville(virginia.edu)', 'CS,Florida State University(fsu.edu)', 'Computer Science,Arizona State University(asu.edu)', 'University of Virginia(virginia.edu)']","2 July, 2024"
